@relation train
@attribute a0 real[2.281523748,8.43875939]
@attribute a1 real[2.067594976,8.312150114]
@attribute a2 real[2.098935092,8.207123495]
@attribute a3 real[1.7302687,7.897368767]
@attribute a4 real[1.922031196,8.301830863]
@attribute a5 real[1.89074753,8.270947776]
@attribute a6 real[1.814378694,8.220238395]
@attribute a7 real[2.033798859,8.139128858]
@attribute a8 real[1.944518782,8.23446125]
@attribute a9 real[1.742771298,8.326781271]
@attribute a10{35-49_male,50-64_male,25-34_female,18-24_male,50-64_female,35-49_female,25-34_male,18-24_female,65-xx_female,65-xx_male}
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs a10
@data
2.839923429,2.615314393,2.524144504,2.195920019,2.584760149,2.428075577,2.427213048,2.531537257,2.32521408,2.354071116,35-49_male
4.706917207,4.76382202,4.713632511,3.955903228,4.725390104,4.555441822,4.63701556,4.472871272,4.708868036,4.379348617,50-64_male
4.129414183,4.046725538,4.008916144,3.716373164,3.970613163,3.857586795,3.845276181,4.08444842,4.303809334,4.073844055,25-34_female
4.449092015,4.508155949,4.355292786,3.8963156,4.707903872,4.604694464,4.387990235,4.278875558,4.40710104,4.274585139,18-24_male
4.252364655,4.127532424,4.262109396,3.819176286,4.592946554,4.043561561,4.140055276,4.167593375,3.925372889,3.585660544,18-24_male
3.885769874,4.014273911,4.176904469,3.71081221,3.709595154,4.01104257,3.938360594,3.962193218,4.052078257,4.332174048,25-34_female
6.595312292,6.579252375,6.489272361,6.388963258,6.648947852,6.585119925,6.566022436,6.54272535,6.837068163,6.870392368,18-24_male
5.480505035,5.296142828,5.164739823,4.637346776,5.35352754,5.245190129,5.21288503,5.271674848,5.207513121,5.230321942,50-64_female
4.134232886,4.146431488,3.925821644,3.575634273,4.080739391,4.203821756,3.985776458,3.829313589,3.739200073,4.19577889,35-49_female
3.69668983,3.692531335,3.692077752,3.297986842,3.75058155,3.616045028,3.526902813,3.253930056,3.412701132,3.208648842,50-64_female
4.626129219,4.630186884,4.702389551,4.525308449,5.27822441,4.961302275,4.884024632,4.573874669,4.707009805,4.16667489,18-24_male
3.228682549,3.234864964,3.359882644,3.064029245,3.132071075,3.423644747,3.286319988,2.959389323,2.697472966,2.752925052,25-34_female
5.757326337,5.902637005,5.850557365,5.29704079,5.990927786,5.929927174,5.825290141,5.766705091,5.801307456,5.64614375,25-34_female
4.356894519,4.28589757,4.230782072,3.704818423,4.376399682,4.228737291,4.091996335,4.260545514,4.028314826,3.627696802,50-64_male
5.684793129,5.711332167,5.696939152,5.151662669,5.928616108,5.782877537,5.68146642,5.482102998,5.518377173,5.523961483,25-34_male
4.193004907,4.061019913,4.010195672,3.709840936,3.928793536,3.98554758,3.922911793,3.966305944,4.095416794,4.235052711,18-24_female
4.884207877,4.787855851,4.670011298,4.15584232,4.596652632,4.736572511,4.60795973,4.576695534,4.896047947,4.909817639,50-64_female
4.478245741,4.44728146,4.385766016,3.951034006,4.327753996,4.568168184,4.337191508,4.228816734,4.040664916,4.12885325,25-34_male
3.594913682,3.517556392,3.329911637,2.926808195,3.608328015,3.402641178,3.341819606,3.473042401,3.26661398,3.500222315,25-34_female
4.472092436,4.395826569,4.18609565,3.897433851,4.55857629,4.648846223,4.390912434,4.148937817,4.339138685,4.450545137,25-34_male
4.861566393,4.989864562,4.934930692,4.40196573,5.108252458,5.034408507,4.941291507,4.812176741,4.890349634,4.487085789,35-49_female
5.115386985,5.020707119,4.875434728,4.60307518,5.469363554,5.402422519,5.153042745,4.768689501,4.659613051,4.496866571,35-49_female
4.49936047,4.464454715,4.467746274,3.873338758,4.642042437,4.456191881,4.509752723,4.187766732,4.342899659,4.269284922,50-64_female
5.293551194,5.131346238,4.964912125,4.675024202,5.469452114,5.152482665,5.0946727,5.093247671,4.871425571,4.535921385,50-64_male
4.327154758,3.992536631,3.968183601,3.816206937,4.059054201,3.87911835,4.001389048,4.116411932,4.156476051,4.394505126,18-24_female
3.958494335,3.825545262,3.766299856,3.555663818,3.744045796,3.663715755,3.585597433,3.998216669,4.114323026,3.919796825,25-34_female
3.719400728,3.703953705,3.655488402,3.279614617,3.639000104,3.599775255,3.589903457,3.681569985,3.782109206,3.883009347,25-34_female
2.740585717,2.688120044,2.681049471,2.225252859,2.594424467,2.571105024,2.353464823,2.568868476,2.334754373,2.33080854,25-34_male
4.953212908,4.760700558,4.852780926,4.415098293,4.672847781,4.559660392,4.73020313,4.813612186,5.095682244,5.042725576,50-64_male
4.377081081,4.300850943,4.221210002,3.879732253,4.360929825,4.493176258,4.265298138,3.983668698,4.088684253,4.18287159,50-64_male
5.930166118,5.814469186,5.732582038,5.264035954,5.775232091,5.782759414,5.788859538,5.650080311,5.931994948,5.744863093,50-64_male
4.661842555,4.545479121,4.312082847,4.034871922,4.47006978,4.521359645,4.420091123,4.211232705,4.248338683,4.570592333,50-64_female
6.923631178,6.890011986,6.843846772,6.611422022,6.950459658,6.897340046,6.890164382,6.825893288,7.140627707,7.140345259,18-24_female
5.872234117,5.574035199,5.380122762,5.191290607,5.400348588,5.402178579,5.423974843,5.329606366,5.526505552,5.599787693,18-24_male
4.465158848,4.250232729,4.079848935,3.832452159,4.290725693,4.385636905,4.182861217,4.06176104,4.36237075,4.747776948,35-49_male
3.832834194,3.835719844,3.848278473,3.288239353,3.74120506,3.866299375,3.722946028,3.547019175,3.390349734,3.518208796,18-24_male
3.651936787,3.76708444,3.666503337,3.375077805,3.85760347,3.680975934,3.545800808,3.323204798,3.125124175,3.065005448,35-49_male
3.301944028,3.179998645,3.079701908,2.666815244,3.258989469,3.02296047,2.968850812,3.101701618,2.81779501,2.778208952,35-49_male
5.546946379,5.532130904,5.381224669,5.081053472,5.441186185,5.416594281,5.409234896,5.331848561,5.533655044,5.410854775,25-34_male
4.256003435,4.103145694,4.006834419,3.892006599,4.072986212,4.064887925,3.980970832,4.053471582,4.396356902,4.702794622,25-34_female
4.617836352,4.57646473,4.549800136,4.0192656,4.372558161,4.464857359,4.42937938,4.471346815,4.37877328,4.690172411,50-64_female
5.38542468,5.277681641,5.119762166,4.754272759,5.5119319,5.452502867,5.316566537,4.891496894,4.996763193,5.203333794,50-64_female
4.83850413,4.80115836,4.628956777,4.245638364,4.963932842,4.786410609,4.805383872,4.511725054,4.809051514,5.102904859,35-49_female
6.189995333,6.057866565,6.068362674,5.849699743,6.221428999,6.106569732,6.036745757,6.034846138,6.001962939,5.877749645,35-49_female
4.145225206,4.273672835,4.255770643,3.792426184,4.28433942,4.301006178,4.099556037,3.981858724,3.91704235,3.959307944,25-34_male
4.041179165,4.137771937,4.160163416,3.741564293,3.794466786,4.000594208,3.95067061,4.078944396,4.134464704,4.400131666,25-34_male
4.035412373,3.952512313,3.794210191,3.453802777,4.086420581,3.957590748,3.860117907,3.938398355,3.947952864,4.067466338,35-49_female
5.451551037,5.439417161,5.63310539,4.834039137,5.735952063,5.535025933,5.454070305,5.18497334,5.288365898,4.630005488,18-24_female
2.93611059,2.962669271,2.968116945,2.638020657,2.950209589,3.194741769,2.963475712,2.794083396,2.508626836,2.321688253,35-49_female
3.4668515,3.462877053,3.36720068,2.858369765,3.479771985,3.317515162,3.188401971,3.079356177,2.973521539,2.693209694,25-34_male
4.774522944,4.813203632,4.817823537,4.53444277,5.084702048,5.012461584,4.739206288,4.494247387,4.263159889,3.811543344,35-49_female
4.055710686,3.995971851,3.8811336,3.400561152,4.196452367,4.027536048,3.962540639,3.790651304,3.734475784,3.742586949,35-49_female
4.006677418,3.795175352,3.839964811,3.290315546,3.988111799,3.755519977,3.795074321,3.682839543,3.622507478,3.47747916,35-49_female
3.856129901,3.809732032,3.759437593,3.202174854,3.851071673,3.676226255,3.590939571,3.629669491,3.474560188,3.274841329,50-64_female
5.955329549,5.983984617,5.887145838,5.574045323,6.037328443,5.853837001,5.958244817,5.783964061,6.100899749,5.89064679,25-34_male
5.156561498,5.120078378,4.942037287,4.64451541,4.945134428,5.088262893,5.039922133,5.057094226,5.327537564,5.16872566,25-34_male
3.382127206,3.094804808,2.999262928,2.620965133,2.914973493,2.801138109,2.801935658,3.168175544,2.83984317,2.875137112,50-64_male
