@relation test
@attribute a0 real[2.480373889,8.932136417]
@attribute a1 real[2.369157633,8.926647256]
@attribute a2 real[2.434700777,8.870372827]
@attribute a3 real[2.040924748,8.651024408]
@attribute a4 real[2.242604259,8.974890896]
@attribute a5 real[2.067209279,8.895511092]
@attribute a6 real[2.197908446,8.934677462]
@attribute a7 real[2.304904958,8.904683608]
@attribute a8 real[2.046851063,9.191704194]
@attribute a9 real[2.016828165,9.225141122]
@attribute a10{25-34_male,35-49_female,50-64_male,35-49_male,50-64_female,18-24_male,18-24_female,25-34_female,65-xx_female}
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs a10
@data
4.199198953,4.202742491,4.243582563,3.690759476,3.929445684,4.081794593,4.145829657,4.036424247,4.48311153,4.713314804,25-34_male
4.357400983,4.453011273,4.394864969,3.713994381,4.490594889,4.304141883,4.306788691,4.283939978,4.237819427,4.097348648,35-49_female
4.695945031,4.589544466,4.64966385,4.365081992,5.158903597,4.92797075,4.689924317,4.376638289,4.444395017,3.82793356,50-64_male
3.732838287,3.618154594,3.591409957,3.084510793,3.761257544,3.569670798,3.52119247,3.451572787,3.433875553,3.172601584,35-49_male
4.567709779,4.788285859,4.619740127,3.995575434,4.8114873,4.770647408,4.673711238,4.561106572,4.763092677,4.612165243,50-64_female
6.268449758,6.329614483,6.145245704,6.037397201,6.37113991,6.356124801,6.253225561,6.345420699,6.452216173,6.564008448,18-24_male
4.186142252,4.276802926,4.292495495,3.741260956,4.295171387,4.320968959,4.203862719,3.777197123,4.102751184,3.665222513,18-24_female
4.553368068,4.674698706,4.533232209,4.471885223,5.017944655,4.91180025,4.705612012,4.3996686,4.410481943,4.165850999,25-34_female
5.50256696,5.503963104,5.343470085,5.288271645,5.418182951,5.487048779,5.370436152,5.097762183,5.313440088,5.412934741,50-64_female
6.149344531,6.106492397,6.144759447,5.435764757,6.341340896,6.262516277,6.153348792,5.868237999,5.961720543,5.930842309,35-49_male
3.662528155,3.670212632,3.589211521,3.449858657,3.744917577,3.608876888,3.626091806,3.646205641,3.923313474,4.041062288,18-24_female
4.744485926,4.61642739,4.677618271,4.457379746,4.617614747,4.438063411,4.567812562,4.626221736,4.841892585,5.114801863,18-24_female
4.392450438,4.218640645,4.352895651,4.046740734,4.732070008,4.538280399,4.457071707,4.10914896,4.166586465,3.91315324,50-64_female
4.319763714,4.146710563,4.138158497,3.881258502,4.06045993,4.05620218,4.046374428,4.048977077,4.420824916,4.631989807,25-34_male
4.256180353,4.136106983,4.16978928,4.051476219,4.632743957,4.345237168,4.292965714,3.864454095,3.863001398,3.533983946,18-24_female
4.223474967,4.210638007,4.193457739,3.794221969,4.133222545,4.15887924,4.128972966,4.24542404,4.55347253,4.674373361,18-24_male
4.702043577,4.698193503,4.553994623,4.180882176,4.794868371,4.646867756,4.503658364,4.643930849,4.574738527,4.513225551,35-49_female
5.261973874,5.262479859,5.258718248,4.868587744,5.318515784,5.230991702,5.246086555,5.254628277,5.563793871,5.699971677,18-24_male
6.379760433,6.417832096,6.347478414,5.90702874,6.502734093,6.47763027,6.336094567,6.355552447,6.466273548,6.474948553,35-49_male
5.451374881,5.525564297,5.49231942,4.886552677,5.844091101,5.717671511,5.634647533,5.258249697,5.363887977,5.207727405,25-34_female
5.412457559,5.369024999,5.302336153,4.687990664,5.613955099,5.470742773,5.369799456,5.316949833,5.400585032,5.408683478,50-64_female
4.683269064,4.568709997,4.565142123,3.989935897,4.98024016,4.809998261,4.645963367,4.557221918,4.557947056,4.354093572,25-34_male
3.569873153,3.565032383,3.563612689,3.128606111,3.670159277,3.549347765,3.510662105,3.408801736,3.457559158,3.172441654,35-49_female
4.086044715,4.228599587,4.07437173,3.671423064,4.366042486,4.081329627,4.033142482,4.068115998,4.002698928,4.058555128,50-64_female
3.561501814,3.486362229,3.40523072,3.002341199,3.56900514,3.333847577,3.314784588,3.320295077,3.258572416,3.052508518,25-34_male
3.458055198,3.232437625,3.182759931,2.83839622,3.437642496,3.196459084,3.187474568,3.106383255,2.909064265,2.776687809,25-34_female
3.426442401,3.272873962,3.239340478,2.871068352,3.259008174,3.205011932,3.079474991,3.182338172,2.77749756,2.861558685,35-49_female
3.086382906,3.039675576,2.974560057,2.717490812,3.258017655,3.072391153,2.984849884,2.965584396,2.834383811,2.786381537,18-24_female
4.250896427,4.090680163,4.019695001,3.672611804,4.107807327,4.02095058,4.070936743,4.010642839,4.357911591,4.546912539,18-24_male
3.750698655,3.741672598,3.576983082,3.363517433,3.549350201,3.829361642,3.655288875,3.475769072,3.629939707,4.089544579,50-64_female
3.935420341,3.993499379,4.038994331,3.57470606,3.9686954,3.783118219,3.891356817,3.735262888,3.859616238,3.714617786,25-34_female
4.691662908,4.55521871,4.185976963,4.016594729,4.32114422,4.495971512,4.280398841,4.270728395,4.564936719,5.029048997,25-34_male
3.443827402,3.497783615,3.408056467,2.983869328,3.494657139,3.374071454,3.335431657,3.298860803,3.342105608,3.406201378,50-64_male
3.864181455,3.897134976,4.217359439,3.622050529,3.87648229,3.738608481,3.823180503,3.831186964,4.015686114,3.781340391,25-34_female
4.178770932,4.234421927,4.217750923,3.791304348,4.280525843,4.286403523,4.160689012,3.905028254,4.005332935,3.842717185,25-34_female
5.756492059,5.576601026,5.536543818,5.047529336,5.607778658,5.379605088,5.437013616,5.550968683,5.474469693,5.219634939,35-49_male
3.189556689,3.04055819,3.233429857,2.901075127,3.103938432,3.369774307,3.177043466,2.918801489,2.78403101,2.804058201,25-34_female
4.935840856,4.979589389,5.000257298,4.597227454,5.229162148,5.091051543,4.917816342,4.871446222,4.837059563,4.400009183,25-34_female
4.817816866,4.748520226,4.757283607,4.587376475,4.777265019,4.682297354,4.645511059,4.723241325,4.997969595,4.859550654,18-24_female
4.732713217,4.811503057,4.747300224,4.25527271,4.894493153,4.883374836,4.724102932,4.545466115,4.718749246,4.698596163,25-34_male
3.572642309,3.401611013,3.348855349,3.185539108,3.612744723,3.34998163,3.348982313,3.079336965,3.007716064,2.600817375,50-64_female
3.114418397,3.156411285,3.118216767,2.586149301,3.271797441,2.954087319,2.947566586,3.07979031,3.083357642,3.083317618,35-49_male
4.280384599,4.194660279,4.16143089,3.840339526,4.116029697,4.091851238,4.155230211,4.212401731,4.655126839,4.884517991,35-49_male
4.977284034,5.016511122,4.911359515,4.629779951,5.232405132,5.176663042,4.897223423,4.701872603,4.295544101,4.027822072,50-64_male
4.857434841,4.921832938,5.037917983,4.453849552,4.904358661,4.884085773,4.920681148,4.898678607,5.059113741,5.091005592,25-34_female
3.419078242,3.56917808,3.363768709,3.157737627,3.131923037,3.584533465,3.323302776,3.31887911,3.347376708,3.947680738,35-49_male
3.419911951,3.357227808,3.239699566,3.18609248,3.18256745,3.285232817,3.192213975,3.042594163,2.979287409,3.215590268,50-64_male
3.990827509,3.871619829,3.633395354,3.31492819,4.052405216,3.897671422,3.82413446,3.607394131,3.650759032,3.748761664,50-64_female
4.2598063,4.297389745,4.277929043,3.895868328,4.296135944,4.186988728,4.156521294,4.228042632,4.362901328,4.325486722,18-24_male
3.323130702,3.345872635,3.457053621,2.986913523,3.260439186,3.339627101,3.352784603,3.408360687,3.584012113,3.847384896,18-24_male
5.220716977,5.025454072,5.028471067,4.767608698,4.920615184,4.942165328,4.966681408,4.880073608,5.276511627,5.635201228,18-24_male
4.381705064,4.468130034,4.52847569,4.114788627,4.404445665,4.340192538,4.412591955,4.23037942,4.344623926,4.477820074,25-34_male
4.84977752,4.737887752,4.629384749,4.493267989,4.699200282,4.687107133,4.734338485,4.775503656,5.072604533,5.345099458,18-24_female
5.033333834,5.084368151,4.786044939,4.449011272,5.166178903,5.032801709,5.00693314,4.874494552,5.199178227,4.980637805,18-24_male
3.800642913,3.702300803,3.531253164,3.178980601,3.804963316,3.612308272,3.509368717,3.520499475,3.441093094,3.636803174,25-34_female
5.499212611,5.472531209,5.521605998,5.336183157,5.614191437,5.488595381,5.448421009,5.497184958,5.796612073,5.661691084,35-49_male
7.033086776,7.021352445,6.92031157,6.717231064,7.035444869,7.006827757,6.926295865,6.964991533,7.151478492,7.268059751,25-34_male
4.786741013,4.863756001,4.918731764,4.272900351,4.896394338,4.931390152,4.800845793,4.70189732,4.64745193,4.967103104,50-64_male
3.866384605,3.933773097,3.734624672,3.490168875,3.848091124,3.731123492,3.603901398,3.549025994,3.650163453,3.511181265,25-34_male
4.027393951,4.085987851,4.066768551,3.586688149,4.249983249,4.066904314,3.953184683,4.018592095,4.002670038,3.785191276,50-64_male
5.031975979,4.894898795,4.621593982,4.513669492,4.857341965,5.013669544,4.775754297,4.729734546,5.017450052,5.191626924,50-64_male
6.834202783,6.810100205,6.739626435,6.598829681,6.862714412,6.814314714,6.799020742,6.775300925,7.033979781,7.067694626,25-34_male
3.899624403,3.8616158,3.862645631,3.419014033,4.090395072,3.843082228,3.884941373,3.839810876,4.034940005,3.550998285,35-49_female
5.189770611,5.191128787,5.229663491,4.826148624,5.710341737,5.468668409,5.360577491,5.03052404,4.946002208,4.575575981,18-24_female
4.682478227,4.564553843,4.382923573,4.281967714,4.601907944,4.491641797,4.510607877,4.460519612,4.642490388,4.695932068,18-24_female
5.801853076,5.667097152,5.617926413,5.12782742,5.707292811,5.634129507,5.557849807,5.573113321,5.678690351,5.323574723,50-64_female
4.721686661,4.631201353,4.577336917,4.148795412,4.765400113,4.709721494,4.62683707,4.275495115,4.311649257,4.241876634,35-49_male
5.790794146,5.578454672,5.591970751,5.130750627,5.731791412,5.545993794,5.615051478,5.417839555,5.807490965,5.210641054,50-64_female
4.372659665,4.322769763,4.322287568,4.32005919,4.4134471,4.203552389,4.303382525,4.471379194,4.7107769,4.726975988,18-24_female
4.667693384,4.367674488,4.226758489,4.144492525,4.379693718,4.089614848,4.187278106,4.378114385,4.366317752,4.622469632,18-24_female
4.546450691,4.458738538,4.291723131,3.822891146,4.27796791,4.399324641,4.35037287,4.426087283,4.552491895,4.882009964,25-34_male
5.259652005,5.186301871,5.177566539,4.909638202,5.292197227,5.222989543,5.219439354,5.21857296,5.603644059,5.575523211,18-24_female
4.506615701,4.38966937,4.395763693,3.888003123,4.404756216,4.380060835,4.358104123,4.174574688,4.252582657,4.339115013,35-49_female
6.104552577,6.180690346,6.052528254,5.597498649,6.209993265,6.07912158,6.07790496,5.961250413,6.086309686,5.98248933,25-34_male
4.799278267,4.806142213,4.759368035,4.016096007,4.845087088,4.758383555,4.759219841,4.657146669,4.714738867,4.683284151,25-34_male
5.9402322,6.008472696,6.142868588,5.483017009,6.149789394,6.056250965,5.962411687,5.990221801,6.163024282,5.703513865,25-34_male
4.621707188,4.841308369,4.809864662,4.12282565,4.927415459,4.719962864,4.729977747,4.567612985,4.602691937,4.306890234,25-34_female
5.41271361,5.410017767,5.372636462,4.838499567,5.770490657,5.518055302,5.424957534,5.376710693,5.513258598,5.381343327,50-64_male
6.070549843,6.078745104,5.877098757,5.437002604,5.904926332,5.945587958,5.923178764,5.90250606,6.201154513,6.059846526,35-49_male
3.909771723,3.882161544,3.992069657,3.689699423,3.860966661,3.95967821,3.780592122,3.818350988,4.30207127,4.343288417,18-24_male
4.049792492,3.949798523,3.790409498,3.4286713,4.065626328,4.140145537,3.87957338,3.635573187,3.70248123,3.918335094,35-49_male
4.597620554,4.560579855,4.472664623,4.161558177,4.42646221,4.535060087,4.445471435,4.33779804,4.682381076,5.067467218,18-24_male
5.032215638,5.126609817,5.051028765,4.805560402,5.551945009,5.460395174,5.323963731,5.015494887,5.161753032,4.526043924,35-49_female
4.121825486,4.206425712,4.108413458,3.81467941,4.047953955,4.102466472,3.981509188,3.994319671,4.119194796,4.312631114,50-64_male
4.179633415,4.078774715,4.04731007,3.522172255,4.308546116,3.935635105,3.913280485,4.108202254,3.766608973,3.634769314,25-34_male
4.591214061,4.5324982,4.534820906,4.049773771,4.900684532,4.69428036,4.614494355,4.350359567,4.396341286,4.364602891,35-49_female
5.113393562,5.059524547,4.888787355,4.417094844,5.290614351,5.15820433,5.050243749,4.974296332,5.093986387,4.991814044,50-64_female
5.468772188,5.233132281,5.306621397,5.263077528,5.48281338,5.158818032,5.232268794,5.273123928,5.343141938,5.289868284,50-64_female
5.352427559,5.306339098,5.205303367,4.869794054,5.578457657,5.480220217,5.384911775,5.052353671,5.250466647,5.098779588,50-64_male
4.849214487,5.160549047,5.328371626,4.700161057,5.120705813,5.217480005,5.099642194,4.951126951,4.811941488,4.68270677,35-49_male
5.55242105,5.663188485,5.578931106,4.997930397,5.910410976,5.740074088,5.570392477,5.425072804,5.414677129,5.228632522,50-64_female
4.420968356,4.159439821,4.470816763,4.164366747,4.459362087,4.113639844,4.261022075,4.196697383,4.230477118,3.925481357,35-49_female
3.771651137,3.610274429,3.400282662,2.87393958,3.598916562,3.710315779,3.594943314,3.209249193,3.544754366,3.748454531,35-49_female
4.198896801,4.239200521,4.032334826,3.768083609,4.313830562,4.368115056,4.215297853,3.814345446,3.860533706,3.850266757,25-34_male
4.290358667,4.410082869,4.593927361,4.099063178,4.235179743,4.294175681,4.301237033,4.466943205,4.744288528,4.799813287,25-34_male
5.248719588,5.257062396,5.236066428,4.700768724,5.560376758,5.358489782,5.23560525,5.041586142,5.058556703,5.1092696,35-49_female
5.052636955,4.734043849,4.655662166,4.506383497,4.635794274,4.639053087,4.662511329,4.819839069,4.829628746,4.839570444,25-34_male
3.911221786,3.780630547,3.777567236,3.728960862,3.897952075,3.695331878,3.699391982,3.813206665,4.203006936,4.233679379,18-24_female
3.634698002,3.534171081,3.594800949,3.184519197,3.638270927,3.355065648,3.353930865,3.474629012,3.506490338,3.442490471,35-49_female
3.270475639,3.26619356,3.191928034,2.829113712,3.318840243,3.275345702,3.209074686,3.12495173,3.16241,3.193822578,35-49_female
3.741108206,3.662163643,3.711185676,3.312539853,3.974558712,3.679423644,3.658251296,3.503243561,3.756488621,3.226085237,35-49_male
6.657861883,6.595920672,6.510703257,5.993893157,6.557559638,6.567528839,6.501886833,6.46207039,6.570134073,6.546824621,18-24_male
3.207649349,3.187772676,3.330938088,2.980136954,3.014866547,3.126578808,3.069509515,3.122248551,2.953829104,2.913603881,25-34_female
3.885512865,3.834539977,3.730698312,3.478155411,3.77791722,3.739113056,3.657422575,3.800060077,3.996221324,4.124530144,18-24_male
4.198373972,4.156226505,4.071379444,3.846171062,4.032293406,4.02588576,4.047297313,4.110313628,4.49568152,4.708138758,18-24_male
3.823682012,3.803385083,3.599755224,3.241518304,3.732420418,3.56315523,3.57694882,3.731808065,3.716630427,3.817928739,25-34_male
4.389643153,4.472624467,4.243350926,3.862902328,4.365963848,4.546100506,4.39794812,4.249412766,4.135034292,4.348920283,25-34_female
4.039321677,4.295736731,4.099916636,3.665375028,4.464489252,4.188099313,4.062284257,4.002469813,4.105992952,3.692907753,25-34_male
4.393213672,4.350972345,4.504852253,4.096594681,4.626127254,4.484612889,4.492462547,4.247766376,4.309407397,4.061152637,50-64_male
4.539122709,4.444750546,4.349081254,3.91048188,4.544915292,4.497182616,4.367182034,4.382902122,4.465906608,4.213680957,50-64_female
4.691179446,4.762191232,4.633390384,4.061466266,4.874249389,4.739794079,4.598292151,4.540302561,4.435425796,4.436815929,35-49_female
5.056713242,4.999224913,4.885187875,4.772355583,4.995225862,4.851647553,4.798725006,4.777323375,4.650917482,4.727839347,50-64_male
4.023032487,4.035964367,4.058068237,3.730924865,4.066119309,3.989528214,3.877467153,3.87086143,3.963020639,4.039160028,18-24_female
4.910874411,4.898967206,4.91703843,4.436322458,4.992665922,4.917044419,4.76344139,4.884867146,4.676083732,4.327370777,18-24_female
3.297263056,2.938231446,2.950152247,2.640849594,3.084462428,2.928029401,2.945030419,2.963339324,2.958441572,2.827333039,25-34_female
3.875705876,3.925461751,3.699833523,3.236521018,3.756146148,3.649656876,3.621734521,3.911577763,3.849261169,3.697236618,25-34_male
5.607398808,5.536800465,5.481101381,4.916173089,5.774286936,5.718559825,5.596513734,5.5207535,5.67463265,5.734266382,35-49_female
3.24663151,3.010479644,3.088158268,2.734358093,3.266360601,3.031051088,2.969902852,3.037662773,2.790958186,2.576436039,25-34_male
5.115600549,4.909997571,4.974873165,4.524573312,5.092953115,4.964638809,4.912433855,4.86226347,4.784123945,4.409922535,25-34_male
3.264773594,3.016342758,3.104599996,2.661733632,3.026239345,2.961871503,2.950085846,2.984850832,3.173050784,2.994088189,50-64_male
5.109258352,4.956016947,4.952312267,4.804009287,4.956363565,4.83630478,4.831793384,4.97660099,5.035958765,5.081166709,25-34_female
4.200902418,4.111204333,3.952654851,3.80050275,4.01113454,4.068675344,3.981765463,4.053075365,4.365200822,4.682066664,18-24_female
4.434963282,4.28129667,4.200519066,3.782386891,4.313766535,4.320238581,4.112671734,3.9941136,3.918890144,4.172785743,50-64_female
4.715070864,4.658468261,4.630726553,4.230597444,4.623944624,4.638242222,4.629265016,4.628188787,4.907191679,5.052715484,35-49_male
